Total number of row buffer updates : 15

Total number of instructions executed completely per core: -

Core 1: 19

CPI: 10.4737

Memory contents (non-zero) 

1000-1003 = 1

Cycle numbers  Instructions CORE1          Register CORE1           MRM                                                                                                 DRAM                                              Fowarded instructions (if any)                                                                      

1              add $t0, $t0, 1             $t0 = 1                  IDLE                                                                                                IDLE                                              ----
2              sw $t0, 1000($zero)         IDLE                     IDLE                                                                                                IDLE                                              ----
3              add $t2, $t2, 100           $t2 = 100                Pushing into MRM Buffer                                                                             IDLE                                              ----
4              lw $t1, 1004($zero)         IDLE                     Finding a new row for DRAM                                                                          IDLE                                              ----
5              lw $t3, 1028($zero)         IDLE                     passing new instruction to DRAM: sw $t0 1000 and Pushing into MRM Buffer                            IDLE                                              ----
6              lw $t4, 1024($zero)         IDLE                     Pushing into MRM Buffer                                                                             Activate row 0                                    ----
7              Read : lw $t3, 1000($zero)  IDLE                     Pushing into MRM Buffer                                                                             Activate row 0                                    ----
8              IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
9              IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
10             IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
11             IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
12             IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
13             IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
14             IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
15             IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
16             IDLE                        IDLE                     IDLE                                                                                                Column Access 1000                                ----
17             IDLE                        IDLE                     passing new instruction to DRAM: lw $t1 1004                                                        1000-1003=1                                       ----
18             IDLE                        IDLE                     IDLE                                                                                                Column Access 1004                                ----
19             IDLE                        IDLE                     Finding a new row for DRAM                                                                          Column Access 1004                                ----
20             IDLE                        $t1 = 0                  passing new instruction to DRAM: lw $t3 1028                                                        IDLE                                              ----
21             IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
22             IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
23             IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
24             IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
25             IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
26             IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
27             IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
28             IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
29             IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
30             IDLE                        IDLE                     IDLE                                                                                                Writeback row 0                                   ----
31             IDLE                        IDLE                     IDLE                                                                                                Activate row 1                                    ----
32             IDLE                        IDLE                     IDLE                                                                                                Activate row 1                                    ----
33             IDLE                        IDLE                     IDLE                                                                                                Activate row 1                                    ----
34             IDLE                        IDLE                     IDLE                                                                                                Activate row 1                                    ----
35             IDLE                        IDLE                     IDLE                                                                                                Activate row 1                                    ----
36             IDLE                        IDLE                     IDLE                                                                                                Activate row 1                                    ----
37             IDLE                        IDLE                     IDLE                                                                                                Activate row 1                                    ----
38             IDLE                        IDLE                     IDLE                                                                                                Activate row 1                                    ----
39             IDLE                        IDLE                     IDLE                                                                                                Activate row 1                                    ----
40             IDLE                        IDLE                     IDLE                                                                                                Activate row 1                                    ----
41             IDLE                        IDLE                     IDLE                                                                                                Column Access 4                                   ----
42             IDLE                        IDLE                     passing new instruction to DRAM: lw $t4 1024                                                        Column Access 4                                   ----
43             lw $t3, 1000($zero)         $t3 = 0                  IDLE                                                                                                Column Access 0                                   ----
44             lw $t1, 2000($zero)         IDLE                     Pushing into MRM Buffer                                                                             Column Access 0                                   ----
45             lw $t2, 3000($zero)         $t4 = 0                  Finding a new row for DRAM and Pushing into MRM Buffer                                              IDLE                                              ----
46             Read : lw $t3, 4000($zero)  IDLE                     passing new instruction to DRAM: lw $t3 1000 and Pushing into MRM Buffer                            IDLE                                              ----
47             IDLE                        IDLE                     IDLE                                                                                                Activate row 0                                    ----
